IUCN,IUCN Category,SPEC,Species,COU,Country,Value
TOT_KNOWN,Total number of known species,BIRD,Birds,KOR,Korea,548.0
ENDANGERED,Number of endangered species,BIRD,Birds,KOR,Korea,18.0
CRITICAL,Number of critically endangered species,BIRD,Birds,KOR,Korea,7.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,KOR,Korea,29.0
THREATENED,Total number of threatened species,BIRD,Birds,KOR,Korea,54.0
TOT_KNOWN,Total number of known species,BIRD,Birds,LUX,Luxembourg,131.0
ENDANGERED,Number of endangered species,BIRD,Birds,LUX,Luxembourg,8.0
CRITICAL,Number of critically endangered species,BIRD,Birds,LUX,Luxembourg,7.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,LUX,Luxembourg,11.0
THREATENED,Total number of threatened species,BIRD,Birds,LUX,Luxembourg,26.0
TOT_KNOWN,Total number of known species,BIRD,Birds,MEX,Mexico,1117.0
ENDANGERED,Number of endangered species,BIRD,Birds,MEX,Mexico,98.0
CRITICAL,Number of critically endangered species,BIRD,Birds,MEX,Mexico,18.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,MEX,Mexico,127.0
THREATENED,Total number of threatened species,BIRD,Birds,MEX,Mexico,243.0
TOT_KNOWN,Total number of known species,BIRD,Birds,NLD,Netherlands,168.0
ENDANGERED,Number of endangered species,BIRD,Birds,NLD,Netherlands,11.0
CRITICAL,Number of critically endangered species,BIRD,Birds,NLD,Netherlands,11.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,NLD,Netherlands,19.0
THREATENED,Total number of threatened species,BIRD,Birds,NLD,Netherlands,41.0
TOT_KNOWN,Total number of known species,BIRD,Birds,NZL,New Zealand,262.0
TOT_KNOWN,Total number of known species,BIRD,Birds,NOR,Norway,234.0
ENDANGERED,Number of endangered species,BIRD,Birds,NOR,Norway,18.0
CRITICAL,Number of critically endangered species,BIRD,Birds,NOR,Norway,11.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,NOR,Norway,33.0
THREATENED,Total number of threatened species,BIRD,Birds,NOR,Norway,62.0
TOT_KNOWN,Total number of known species,BIRD,Birds,POL,Poland,456.0
ENDANGERED,Number of endangered species,BIRD,Birds,POL,Poland,8.0
CRITICAL,Number of critically endangered species,BIRD,Birds,POL,Poland,16.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,POL,Poland,10.0
THREATENED,Total number of threatened species,BIRD,Birds,POL,Poland,34.0
TOT_KNOWN,Total number of known species,BIRD,Birds,PRT,Portugal,393.0
ENDANGERED,Number of endangered species,BIRD,Birds,PRT,Portugal,30.0
CRITICAL,Number of critically endangered species,BIRD,Birds,PRT,Portugal,20.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,PRT,Portugal,61.0
THREATENED,Total number of threatened species,BIRD,Birds,PRT,Portugal,111.0
TOT_KNOWN,Total number of known species,BIRD,Birds,SVK,Slovak Republic,211.0
ENDANGERED,Number of endangered species,BIRD,Birds,SVK,Slovak Republic,24.0
CRITICAL,Number of critically endangered species,BIRD,Birds,SVK,Slovak Republic,10.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,SVK,Slovak Republic,17.0
THREATENED,Total number of threatened species,BIRD,Birds,SVK,Slovak Republic,51.0
TOT_KNOWN,Total number of known species,BIRD,Birds,ESP,Spain,640.0
ENDANGERED,Number of endangered species,BIRD,Birds,ESP,Spain,22.0
CRITICAL,Number of critically endangered species,BIRD,Birds,ESP,Spain,10.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,ESP,Spain,36.0
THREATENED,Total number of threatened species,BIRD,Birds,ESP,Spain,68.0
TOT_KNOWN,Total number of known species,BIRD,Birds,SWE,Sweden,253.0
ENDANGERED,Number of endangered species,BIRD,Birds,SWE,Sweden,20.0
CRITICAL,Number of critically endangered species,BIRD,Birds,SWE,Sweden,6.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,SWE,Sweden,28.0
THREATENED,Total number of threatened species,BIRD,Birds,SWE,Sweden,54.0
TOT_KNOWN,Total number of known species,BIRD,Birds,CHE,Switzerland,205.0
ENDANGERED,Number of endangered species,BIRD,Birds,CHE,Switzerland,25.0
CRITICAL,Number of critically endangered species,BIRD,Birds,CHE,Switzerland,9.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,CHE,Switzerland,42.0
THREATENED,Total number of threatened species,BIRD,Birds,CHE,Switzerland,76.0
TOT_KNOWN,Total number of known species,BIRD,Birds,TUR,Türkiye,500.0
ENDANGERED,Number of endangered species,BIRD,Birds,TUR,Türkiye,12.0
CRITICAL,Number of critically endangered species,BIRD,Birds,TUR,Türkiye,7.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,TUR,Türkiye,36.0
THREATENED,Total number of threatened species,BIRD,Birds,TUR,Türkiye,55.0
TOT_KNOWN,Total number of known species,BIRD,Birds,GBR,United Kingdom,590.0
ENDANGERED,Number of endangered species,BIRD,Birds,GBR,United Kingdom,36.0
CRITICAL,Number of critically endangered species,BIRD,Birds,GBR,United Kingdom,18.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,GBR,United Kingdom,47.0
THREATENED,Total number of threatened species,BIRD,Birds,GBR,United Kingdom,101.0
TOT_KNOWN,Total number of known species,BIRD,Birds,CHL,Chile,510.0
ENDANGERED,Number of endangered species,BIRD,Birds,CHL,Chile,25.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,CHL,Chile,19.0
THREATENED,Total number of threatened species,BIRD,Birds,CHL,Chile,46.0
TOT_KNOWN,Total number of known species,BIRD,Birds,EST,Estonia,234.0
ENDANGERED,Number of endangered species,BIRD,Birds,EST,Estonia,31.0
CRITICAL,Number of critically endangered species,BIRD,Birds,EST,Estonia,23.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,EST,Estonia,41.0
THREATENED,Total number of threatened species,BIRD,Birds,EST,Estonia,95.0
THREATENED,Total number of threatened species,BIRD,Birds,RUS,Russia,57.0
TOT_KNOWN,Total number of known species,BIRD,Birds,SVN,Slovenia,380.0
ENDANGERED,Number of endangered species,BIRD,Birds,SVN,Slovenia,43.0
CRITICAL,Number of critically endangered species,BIRD,Birds,SVN,Slovenia,17.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,SVN,Slovenia,45.0
THREATENED,Total number of threatened species,BIRD,Birds,SVN,Slovenia,105.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,AUS,Australia,1085.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,AUS,Australia,20.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,AUS,Australia,9.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,AUS,Australia,31.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,AUS,Australia,60.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,AUT,Austria,14.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,AUT,Austria,3.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,AUT,Austria,3.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,AUT,Austria,3.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,AUT,Austria,9.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,BEL,Belgium,10.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,BEL,Belgium,2.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,BEL,Belgium,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,BEL,Belgium,4.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,CAN,Canada,45.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,CAN,Canada,9.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,CAN,Canada,16.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,CAN,Canada,29.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,CZE,Czech Republic,13.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,CZE,Czech Republic,3.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,CZE,Czech Republic,1.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,CZE,Czech Republic,3.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,CZE,Czech Republic,7.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,DNK,Denmark,8.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,DNK,Denmark,1.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,DNK,Denmark,1.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,FIN,Finland,6.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,FIN,Finland,1.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,FIN,Finland,1.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,FRA,France,38.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,FRA,France,3.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,FRA,France,0.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,FRA,France,6.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,FRA,France,9.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,DEU,Germany,13.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,DEU,Germany,3.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,DEU,Germany,4.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,DEU,Germany,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,DEU,Germany,9.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,GRC,Greece,66.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,GRC,Greece,2.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,GRC,Greece,1.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,GRC,Greece,6.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,GRC,Greece,9.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,HUN,Hungary,15.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,HUN,Hungary,4.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,HUN,Hungary,4.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,IRL,Ireland,3.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,IRL,Ireland,0.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,IRL,Ireland,0.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,ITA,Italy,56.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,ITA,Italy,5.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,ITA,Italy,1.0
