"Species","Country","TOT_KNOWN","ENDANGERED","CRITICAL","VULNERABLE","THREATENED"
"Lichens","Slovak Republic",1650,132,137,251,393
"Mosses","France",470,8,13,1,16
"Marine Fish","Hungary",42,4,2,1,40
"Mosses","Costa Rica",544,4,3,4,26
"Lichens","Chile",1133,NA,NA,1,0
"Lichens","Ireland",683,0,1,1,2
"Vascular plants","Canada",4469,293,152,523,1356
"Mammals","Latvia",62,1,0,1,1
"Invertebrates","Mexico",507,2,1,2,9
"Invertebrates","Denmark",149,22,23,36,99
"Mammals","Türkiye",175,6,3,13,27
"Mosses","Latvia",521,146,57,103,175
"Vascular plants","Italy",12141,269,103,201,631
"Fish","Finland",81,3,3,4,9
"Marine Fish","Switzerland",36,3,5,2,8
"Lichens","Netherlands",838,42,65,104,174
"Reptiles","United Kingdom",21,2,1,6,6
"Reptiles","Netherlands",10,1,2,5,7
"Amphibians","Sweden",6,1,NA,2,3
"Fish","Greece",511,9,7,14,34
"Marine Fish","Türkiye",376,NA,NA,NA,NA
"Reptiles","Czech Republic",15,4,1,2,0
"Amphibians","New Zealand",23,NA,NA,NA,NA
"Fish","Hungary",105,4,9,5,35
"Invertebrates","Latvia",14647,38,2,27,83
"Birds","Türkiye",590,12,9,50,65
"Invertebrates","Netherlands",10371,54,35,63,130
"Amphibians","Estonia",3,2,1,1,2
"Invertebrates","Latvia",17100,63,28,46,135
"Invertebrates","United Kingdom",42969,54,17,74,109
"Birds","Russia",NA,112,44,98,224
"Vascular plants","Slovak Republic",3619,124,135,238,356
"Reptiles","Portugal",49,3,NA,6,9
"Invertebrates","Norway",17100,477,529,2183,2317
"Mammals","Estonia",66,1,2,2,3
"Marine Fish","Finland",25,1,1,1,1
"Mosses","Switzerland",1153,41,30,142,221
"Amphibians","Norway",6,1,1,1,4
"Mammals","Chile",384,9,11,5,10
"Amphibians","France",8,1,0,1,2
"Lichens","Latvia",683,104,49,41,175
"Mammals","Czech Republic",107,2,10,8,25
"Freshwater Fish","Ireland",28,NA,NA,NA,2
"Amphibians","Ireland",6,1,NA,NA,2
"Invertebrates","Canada",31471,454,168,2183,780
"Birds","Mexico",1085,28,10,87,158
"Lichens","Czech Republic",1526,135,155,238,409
"Reptiles","Korea",191,6,2,3,12
"Freshwater Fish","France",79,5,3,8,18
"Lichens","Japan",3880,41,9,20,83
"Amphibians","Australia",877,123,75,168,334
"Reptiles","Finland",3,0,0,0,0
"Birds","Costa Rica",691,22,30,74,133
"Freshwater Fish","Denmark",54,NA,NA,5,6
"Vascular plants","Mexico",38140,199,18,418,1092
"Marine Fish","Hungary",51,NA,NA,NA,35
"Amphibians","France",125,6,2,12,15
"Marine Fish","Switzerland",66,13,5,4,10
"Freshwater Fish","Denmark",42,NA,NA,6,8
"Reptiles","Korea",46,0,0,4,9
"Mammals","Austria",125,5,3,11,25
"Birds","Czech Republic",278,31,26,51,107
"Fish","Germany",205,14,24,25,52
"Reptiles","Estonia",14,1,NA,1,2
"Birds","Portugal",389,30,20,41,125
"Amphibians","Brazil",NA,126,51,168,480
"Fish","Denmark",238,4,3,5,9
"Marine Fish","Brazil",NA,50,20,58,105
"Vascular plants","Austria",3054,201,16,272,631
"Freshwater Fish","Ireland",43,0,NA,2,2
"Invertebrates","Türkiye",24818,39,30,34,119
"Amphibians","France",66,3,1,10,17
"Fish","Slovak Republic",105,6,2,6,12
"Mosses","Chile",1229,NA,NA,4,1
"Birds","Ireland",691,123,57,109,224
"Marine Fish","Chile",1392,NA,NA,1,1
"Freshwater Fish","Costa Rica",384,17,6,15,36
"Freshwater Fish","United Kingdom",103,3,2,6,12
"Marine Fish","Hungary",66,5,10,6,35
"Freshwater Fish","Russia",NA,NA,NA,NA,22
"Mammals","Latvia",84,1,1,2,2
"Vascular plants","Portugal",3141,132,51,204,480
"Fish","Norway",238,9,3,6,24
"Lichens","Austria",1898,169,6,NA,NA
"Lichens","Sweden",2380,71,35,142,170
"Mammals","Slovenia",90,23,NA,26,60
"Lichens","New Zealand",2380,25,2,61,108
"Reptiles","Latvia",7,1,1,1,2
"Amphibians","Norway",13,1,1,1,2
"Freshwater Fish","Netherlands",45,1,2,8,18
"Fish","Mexico",3900,98,44,164,405
"Amphibians","Luxembourg",8,1,1,4,5
"Lichens","Australia",1640,NA,NA,6,2
"Invertebrates","Korea",32000,44,12,87,159
"Lichens","Luxembourg",683,7,6,14,42
"Marine Fish","Belgium",163,2,2,16,17
"Fish","Austria",99,15,8,7,13
"Vascular plants","Sweden",1818,34,7,76,188
"Amphibians","Czech Republic",21,4,1,4,4
"Marine Fish","France",99,5,4,13,20
"Invertebrates","Türkiye",12220,63,11,56,135
"Reptiles","Japan",191,7,12,16,25
"Fish","Poland",87,5,6,17,27
"Marine Fish","Slovak Republic",57,3,1,1,9
"Lichens","Sweden",2380,71,33,124,158
"Mosses","Belgium",521,33,20,43,108
"Reptiles","Canada",91,5,2,9,26
"Amphibians","Slovenia",18,3,NA,NA,NA
"Reptiles","Türkiye",140,5,2,13,27
"Mammals","Korea",185,NA,NA,NA,NA
"Fish","Netherlands",87,5,3,13,27
"Amphibians","Belgium",21,3,3,10,12
"Reptiles","Korea",91,5,3,12,14
"Mosses","Russia",NA,126,104,153,456
"Mammals","Lithuania",68,3,2,2,6
"Invertebrates","Sweden",36242,27,9,76,179
"Vascular plants","Spain",5850,51,10,254,357
"Lichens","Slovenia",250,NA,NA,NA,NA
"Reptiles","Mexico",1954,28,1,100,188
"Fish","Italy",544,13,15,7,13
"Birds","Ireland",440,8,3,3,42
"Marine Fish","Türkiye",404,3,1,1,5
"Mammals","Belgium",62,1,4,0,4
"Mammals","Greece",97,6,4,8,14
"Freshwater Fish","Chile",125,9,3,14,37
"Amphibians","Australia",239,8,15,14,44
"Invertebrates","Portugal",1230,179,101,103,545
"Amphibians","Iceland",12,NA,NA,NA,NA
"Marine Fish","Türkiye",896,NA,NA,NA,NA
"Reptiles","Ireland",10,1,NA,NA,1
"Marine Fish","Sweden",132,6,6,11,14
"Reptiles","Italy",66,NA,NA,NA,9
"Amphibians","Switzerland",21,3,5,6,15
"Amphibians","Slovak Republic",21,1,NA,5,5
"Reptiles","Denmark",3,5,2,5,5
"Marine Fish","Austria",99,13,3,8,17
"Reptiles","Mexico",1954,15,1,50,84
"Amphibians","Poland",14,1,1,2,2
"Mosses","Estonia",705,30,24,76,159
"Birds","Spain",489,16,14,25,57
"Marine Fish","Lithuania",25,0,1,0,3
"Amphibians","Belgium",18,1,NA,0,2
"Fish","Latvia",65,4,1,2,5
"Mammals","Czech Republic",107,1,10,8,25
"Vascular plants","Russia",NA,NA,NA,NA,56
"Birds","Latvia",233,11,NA,20,9
"Marine Fish","Lithuania",36,1,1,1,3
"Lichens","Poland",1133,169,337,319,545
"Marine Fish","Brazil",NA,50,23,45,101
"Reptiles","Austria",15,3,2,1,9
"Lichens","Russia",NA,NA,NA,NA,63
"Invertebrates","Switzerland",447,412,212,487,1075
"Fish","Japan",4300,31,8,43,97
"Mammals","Lithuania",68,1,1,2,3
"Mosses","Czech Republic",1195,90,140,111,299
"Marine Fish","New Zealand",1272,NA,NA,NA,NA
"Fish","Slovak Republic",79,6,2,2,9
"Amphibians","Chile",100,9,2,12,28
"Mosses","Czech Republic",1016,75,70,76,175
"Fish","Hungary",87,4,9,3,40
"Amphibians","Australia",877,56,17,23,47
"Freshwater Fish","Greece",126,22,4,64,98
"Birds","Germany",280,33,20,31,86
"Lichens","Slovak Republic",1526,97,179,174,409
"Invertebrates","Slovenia",5300,74,NA,174,219
"Reptiles","Norway",7,NA,NA,1,1
"Fish","Latvia",65,1,0,1,2
"Fish","Spain",1062,36,4,164,219
"Freshwater Fish","Russia",NA,NA,NA,NA,35
"Mammals","Lithuania",66,1,1,2,4
"Freshwater Fish","Chile",384,13,11,22,36
"Marine Fish","Sweden",132,5,7,13,21
"Birds","Japan",590,33,23,57,98
"Invertebrates","Netherlands",447,42,34,47,137
"Birds","United Kingdom",548,33,35,51,101
"Birds","Spain",890,17,18,13,52
"Invertebrates","Canada",114940,454,152,NA,NA
"Vascular plants","Slovenia",3452,74,17,179,238
"Reptiles","Canada",39,3,1,5,9
"Vascular plants","Ireland",1050,NA,NA,1,9
"Lichens","Hungary",1000,42,17,52,113
"Reptiles","Norway",5,NA,NA,NA,NA
"Mosses","Slovak Republic",521,69,NA,120,357
"Lichens","Lithuania",250,16,20,15,51
"Invertebrates","Finland",20636,468,103,1261,1410
"Invertebrates","Austria",114940,401,284,356,1052
"Invertebrates","Switzerland",5747,369,168,585,1052
"Vascular plants","New Zealand",5304,NA,NA,NA,NA
"Birds","Poland",510,33,7,40,107
"Fish","Australia",2763,16,2,13,47
"Vascular plants","Austria",2866,358,103,676,965
"Freshwater Fish","Norway",54,NA,NA,NA,NA
"Freshwater Fish","New Zealand",55,NA,NA,NA,1
"Marine Fish","France",99,5,2,12,17
"Mammals","Canada",125,7,3,9,15
"Mammals","Norway",68,NA,NA,NA,NA
"Reptiles","Sweden",15,0,1,2,2
"Invertebrates","United Kingdom",30054,136,101,229,421
"Freshwater Fish","Hungary",85,NA,NA,NA,22
"Lichens","Switzerland",466,201,115,546,1410
"Vascular plants","Austria",2918,201,51,169,631
"Invertebrates","Brazil",NA,7,2,6,31
"Marine Fish","Germany",188,11,16,31,98
"Mosses","Canada",1326,102,101,65,299
"Invertebrates","Latvia",15266,138,51,319,421
"Amphibians","Costa Rica",100,20,7,29,60
"Invertebrates","Belgium",1060,378,284,741,1079
"Fish","United Kingdom",511,3,3,5,12
"Invertebrates","Hungary",507,7,17,6,34
"Fish","Switzerland",105,22,4,26,55
"Lichens","Colombia",1640,58,14,61,135
"Mosses","Portugal",470,24,19,43,113
"Invertebrates","Estonia",1060,18,19,20,38
"Marine Fish","Switzerland",57,5,1,11,10
"Vascular plants","Finland",3619,101,33,102,297
"Amphibians","Spain",100,8,7,9,37
"Birds","Norway",262,22,14,20,71
"Amphibians","Japan",146,8,17,18,49
"Amphibians","Slovak Republic",19,1,NA,4,8
"Birds","Japan",456,49,79,31,78
"Mosses","Netherlands",705,49,50,104,159
"Mammals","Korea",241,13,3,16,49
"Fish","Iceland",105,NA,NA,NA,NA
"Mammals","Poland",104,6,6,14,25
"Freshwater Fish","Costa Rica",400,13,4,15,38
"Mosses","Lithuania",699,6,2,19,63
"Fish","Poland",90,5,7,5,12
"Reptiles","Ireland",13,0,NA,NA,0
"Amphibians","Costa Rica",39,9,2,9,34
"Fish","United Kingdom",511,9,3,9,36
"Invertebrates","Costa Rica",87,58,10,43,130
"Marine Fish","Korea",1272,NA,NA,NA,NA
"Mammals","Belgium",68,3,1,NA,5
"Birds","Belgium",75,15,23,31,55
"Mammals","Belgium",53,1,3,2,4
"Invertebrates","Portugal",10434,138,135,204,421
"Invertebrates","Belgium",5238,378,168,1261,1092
"Marine Fish","Canada",1229,13,3,45,58
"Fish","Latvia",103,1,1,4,9
"Mosses","Spain",4,0,NA,32,56
"Birds","Chile",548,17,0,25,9
"Mosses","Colombia",1800,52,10,52,185
"Freshwater Fish","United Kingdom",103,3,1,4,12
"Mosses","Poland",470,8,13,5,23
"Freshwater Fish","Korea",241,NA,NA,NA,NA
"Reptiles","Canada",100,7,4,5,15
"Marine Fish","Finland",42,1,3,1,2
"Reptiles","Türkiye",100,4,3,4,9
"Amphibians","Colombia",413,30,16,35,55
"Reptiles","Korea",140,NA,NA,NA,0
"Reptiles","Austria",21,6,4,9,12
"Fish","Denmark",273,22,19,43,90
"Fish","Spain",1209,18,11,23,34
"Fish","Russia",NA,NA,NA,NA,NA
"Fish","Portugal",103,12,11,15,29
"Lichens","Austria",2026,97,44,123,243
"Amphibians","Türkiye",100,6,4,5,12
"Reptiles","Poland",19,0,1,3,8
"Mammals","Austria",107,7,2,5,11
"Invertebrates","Sweden",36242,310,302,571,1356
"Reptiles","Switzerland",14,3,1,3,9
"Fish","Brazil",NA,71,23,79,238
